id	store_code	quantity	availability	price
1132	11072484000919481729	999	in stock	269.89 PLN
1133	11072484000919481729	999	in stock	269.89 PLN
1134	11072484000919481729	999	in stock	299.89 PLN
1135	11072484000919481729	999	in stock	59.89 PLN
1138	11072484000919481729	0	out of stock	80.89 PLN
1141	11072484000919481729	0	out of stock	169.89 PLN
1142	11072484000919481729	0	out of stock	169.89 PLN
1145	11072484000919481729	0	out of stock	39.89 PLN
1146	11072484000919481729	999	in stock	49.89 PLN
1148	11072484000919481729	999	in stock	1599.89 PLN
1151	11072484000919481729	999	in stock	79.89 PLN
1155	11072484000919481729	0	out of stock	799.89 PLN
1161	11072484000919481729	999	in stock	44.89 PLN
1162	11072484000919481729	999	in stock	33.89 PLN
1166	11072484000919481729	0	out of stock	14.89 PLN
1170	11072484000919481729	0	out of stock	119.89 PLN
1175	11072484000919481729	0	out of stock	29.89 PLN
1176	11072484000919481729	0	out of stock	84.89 PLN
1179	11072484000919481729	999	in stock	82.89 PLN
1182	11072484000919481729	999	in stock	309.89 PLN
1183	11072484000919481729	999	in stock	169.89 PLN
1185	11072484000919481729	999	in stock	614.89 PLN
1186	11072484000919481729	0	out of stock	299.89 PLN
1187	11072484000919481729	0	out of stock	289.89 PLN
1188	11072484000919481729	0	out of stock	269.89 PLN
1189	11072484000919481729	0	out of stock	279.89 PLN
1190	11072484000919481729	999	in stock	32.89 PLN
1191	11072484000919481729	999	in stock	51.89 PLN
1192	11072484000919481729	999	in stock	104.89 PLN
1193	11072484000919481729	999	in stock	109.89 PLN
1194	11072484000919481729	999	in stock	129.89 PLN
1200	11072484000919481729	999	in stock	254.89 PLN
1201	11072484000919481729	0	out of stock	254.89 PLN
1202	11072484000919481729	999	in stock	254.89 PLN
1203	11072484000919481729	999	in stock	254.89 PLN
1204	11072484000919481729	999	in stock	59.89 PLN
1207	11072484000919481729	999	in stock	333.89 PLN
1208	11072484000919481729	999	in stock	219.89 PLN
1209	11072484000919481729	0	out of stock	49.89 PLN
1210	11072484000919481729	999	in stock	79.89 PLN
1211	11072484000919481729	999	in stock	119.89 PLN
1212	11072484000919481729	999	in stock	79.89 PLN
1213	11072484000919481729	999	in stock	89.89 PLN
1221	11072484000919481729	999	in stock	104.89 PLN
1222	11072484000919481729	999	in stock	278.89 PLN
1223	11072484000919481729	999	in stock	278.89 PLN
1226	11072484000919481729	999	in stock	19.89 PLN
1227	11072484000919481729	999	in stock	12.89 PLN
1229	11072484000919481729	999	in stock	27.89 PLN
1230	11072484000919481729	0	out of stock	39.89 PLN
1231	11072484000919481729	999	in stock	34.89 PLN
1232	11072484000919481729	0	out of stock	119.89 PLN
1234	11072484000919481729	999	in stock	79.89 PLN
1235	11072484000919481729	999	in stock	39.89 PLN
1239	11072484000919481729	999	in stock	35.89 PLN
1241	11072484000919481729	0	out of stock	51.89 PLN
1242	11072484000919481729	999	in stock	50.89 PLN
1243	11072484000919481729	999	in stock	29.89 PLN
1244	11072484000919481729	999	in stock	578.89 PLN
1245	11072484000919481729	999	in stock	578.89 PLN
1246	11072484000919481729	999	in stock	578.89 PLN
1248	11072484000919481729	999	in stock	30.89 PLN
1249	11072484000919481729	999	in stock	74.89 PLN
1250	11072484000919481729	999	in stock	74.89 PLN
1251	11072484000919481729	999	in stock	699.89 PLN
1252	11072484000919481729	999	in stock	54.89 PLN
1253	11072484000919481729	999	in stock	54.89 PLN
1254	11072484000919481729	999	in stock	54.89 PLN
1257	11072484000919481729	999	in stock	40.89 PLN
1258	11072484000919481729	999	in stock	41.89 PLN
1259	11072484000919481729	999	in stock	41.89 PLN
1260	11072484000919481729	999	in stock	179.89 PLN
1261	11072484000919481729	999	in stock	189.89 PLN
1262	11072484000919481729	999	in stock	199.89 PLN
1265	11072484000919481729	999	in stock	30.89 PLN
1266	11072484000919481729	999	in stock	40.89 PLN
1267	11072484000919481729	999	in stock	40.89 PLN
1268	11072484000919481729	999	in stock	40.89 PLN
1269	11072484000919481729	999	in stock	40.89 PLN
1270	11072484000919481729	0	out of stock	578.89 PLN
1277	11072484000919481729	999	in stock	499.89 PLN
1278	11072484000919481729	0	out of stock	329.89 PLN
1279	11072484000919481729	999	in stock	89.89 PLN
1283	11072484000919481729	999	in stock	53.89 PLN
1288	11072484000919481729	999	in stock	114.89 PLN
1289	11072484000919481729	999	in stock	63.89 PLN
1290	11072484000919481729	0	out of stock	279.89 PLN
1292	11072484000919481729	999	in stock	139.89 PLN
1293	11072484000919481729	0	out of stock	1199.89 PLN
1294	11072484000919481729	999	in stock	114.89 PLN
1295	11072484000919481729	999	in stock	104.89 PLN
1298	11072484000919481729	0	out of stock	285.89 PLN
1300	11072484000919481729	999	in stock	49.89 PLN
1301	11072484000919481729	0	out of stock	44.89 PLN
1302	11072484000919481729	999	in stock	109.89 PLN
1303	11072484000919481729	999	in stock	109.89 PLN
1304	11072484000919481729	0	out of stock	59.89 PLN
1305	11072484000919481729	0	out of stock	19.89 PLN
1306	11072484000919481729	999	in stock	109.89 PLN
1307	11072484000919481729	999	in stock	144.89 PLN
1308	11072484000919481729	0	out of stock	39.89 PLN
1309	11072484000919481729	999	in stock	314.89 PLN
1310	11072484000919481729	999	in stock	319.89 PLN
1311	11072484000919481729	0	out of stock	72.89 PLN
1312	11072484000919481729	0	out of stock	29.89 PLN
1313	11072484000919481729	999	in stock	254.89 PLN
1314	11072484000919481729	999	in stock	254.89 PLN
1315	11072484000919481729	0	out of stock	48.89 PLN
1331	11072484000919481729	999	in stock	549.89 PLN
1332	11072484000919481729	999	in stock	114.89 PLN
1333	11072484000919481729	999	in stock	114.89 PLN
1334	11072484000919481729	999	in stock	849.89 PLN
1335	11072484000919481729	999	in stock	849.89 PLN
1336	11072484000919481729	999	in stock	948.89 PLN
1337	11072484000919481729	0	out of stock	299.89 PLN
1338	11072484000919481729	999	in stock	94.89 PLN
1339	11072484000919481729	999	in stock	1279.89 PLN
1345	11072484000919481729	0	out of stock	24.89 PLN
1346	11072484000919481729	0	out of stock	59.89 PLN
1353	11072484000919481729	0	out of stock	87.89 PLN
1354	11072484000919481729	0	out of stock	79.89 PLN
1355	11072484000919481729	999	in stock	224.89 PLN
1356	11072484000919481729	999	in stock	264.89 PLN
1357	11072484000919481729	999	in stock	304.89 PLN
1358	11072484000919481729	999	in stock	289.89 PLN
1359	11072484000919481729	999	in stock	319.89 PLN
1360	11072484000919481729	999	in stock	278.89 PLN
1361	11072484000919481729	0	out of stock	274.89 PLN
1362	11072484000919481729	999	in stock	264.89 PLN
1363	11072484000919481729	999	in stock	269.89 PLN
1364	11072484000919481729	999	in stock	15.89 PLN
1365	11072484000919481729	999	in stock	59.89 PLN
1366	11072484000919481729	999	in stock	104.89 PLN
1367	11072484000919481729	999	in stock	179.89 PLN
1369	11072484000919481729	999	in stock	109.89 PLN
1370	11072484000919481729	999	in stock	169.89 PLN
1371	11072484000919481729	999	in stock	39.89 PLN
1373	11072484000919481729	999	in stock	44.89 PLN
1374	11072484000919481729	999	in stock	44.89 PLN
1377	11072484000919481729	0	out of stock	184.89 PLN
1378	11072484000919481729	0	out of stock	329.89 PLN
1379	11072484000919481729	999	in stock	54.89 PLN
1382	11072484000919481729	999	in stock	41.89 PLN
1383	11072484000919481729	0	out of stock	229.89 PLN
1385	11072484000919481729	999	in stock	219.89 PLN
1386	11072484000919481729	0	out of stock	24.89 PLN
1387	11072484000919481729	0	out of stock	31.89 PLN
1388	11072484000919481729	999	in stock	104.89 PLN
1389	11072484000919481729	999	in stock	92.89 PLN
1390	11072484000919481729	999	in stock	29.89 PLN
1393	11072484000919481729	999	in stock	29.89 PLN
1394	11072484000919481729	999	in stock	99.89 PLN
1395	11072484000919481729	999	in stock	79.89 PLN
1399	11072484000919481729	999	in stock	68.89 PLN
1400	11072484000919481729	999	in stock	54.89 PLN
1401	11072484000919481729	999	in stock	79.89 PLN
1402	11072484000919481729	999	in stock	41.89 PLN
1403	11072484000919481729	999	in stock	54.89 PLN
1405	11072484000919481729	999	in stock	155.89 PLN
1406	11072484000919481729	0	out of stock	139.89 PLN
1407	11072484000919481729	999	in stock	69.89 PLN
1408	11072484000919481729	999	in stock	69.89 PLN
1409	11072484000919481729	0	out of stock	44.89 PLN
1410	11072484000919481729	999	in stock	44.89 PLN
